Student_ID,Gender,Attendance_Rate,Social_Media_Hours,Study_Hours_per_Day,Physics,Maths,Biology,Chemistry,Past_Exam_Scores,Final_Exam_Score,Pass_Fail
S322,Male,60.63403922,9,8,34,31,73,46,76,59,Pass
S499,Male,73.6605059,9,8,97,91,97,64,68,63,Pass
S251,Female,76.82406757,10,4,75,55,60,37,55,45,Fail
S314,Male,62.41132214,8,8,85,85,86,89,60,69,Pass
S200,Male,96.64690335,8,7,32,77,30,82,65,56,Pass
S399,Female,98.72736326,5,12,92,71,71,83,94,93,Pass
S072,Female,84.88337868,8,8,96,72,68,97,54,64,Pass
S162,Male,98.75335815,5,12,40,83,50,65,89,79,Pass
S440,Male,97.93135887,6,11,87,72,82,66,95,79,Pass
S139,Male,94.98236986,5,12,74,68,47,97,84,76,Pass
S449,Male,80.52023335,8,8,51,90,57,34,52,59,Pass
S108,Female,86.02580307,8,8,35,35,43,85,57,62,Pass
S476,Female,65.72982784,6,12,81,51,47,52,91,77,Pass
S068,Male,76.86317084,8,8,62,77,47,35,79,70,Pass
S178,Male,54.36450898,10,8,50,85,70,60,62,51,Pass
S406,Female,74.23891836,8,8,35,35,32,82,71,58,Pass
S340,Female,79.37268021,10,8,39,41,44,62,83,74,Pass
S368,Female,77.83607924,7,12,82,44,89,97,95,83,Pass
S370,Male,90.26574837,5,12,96,59,92,82,74,82,Pass
S379,Female,54.34625075,9,7,82,90,53,71,87,73,Pass
S246,Female,60.22722966,5,11,92,79,79,86,83,77,Pass
S164,Female,86.14480483,9,8,33,89,48,49,54,62,Pass
S008,Male,56.69260594,9,8,32,64,74,66,72,66,Pass
S051,Male,77.37231534,9,8,43,53,48,49,79,61,Pass
S142,Male,74.91238489,6,11,81,86,67,35,96,82,Pass
S394,Female,67.25960724,7,12,88,91,56,65,96,85,Pass
S045,Female,99.02313625,7,11,78,61,98,68,91,80,Pass
S013,Male,87.49553747,6,11,75,93,77,66,88,87,Pass
S085,Male,77.43576546,9,8,52,80,39,38,97,73,Pass
S300,Female,87.21248259,8,7,60,31,33,30,75,68,Pass
S438,Female,71.10180298,8,8,60,60,47,95,88,64,Pass
S439,Male,67.69356883,8,7,74,85,47,50,75,62,Pass
S012,Male,76.71731375,9,7,68,32,58,78,79,59,Pass
S366,Male,78.47217589,12,3,94,51,30,39,52,43,Fail
S380,Male,81.66203875,5,11,92,78,37,32,97,76,Pass
S180,Male,96.60071711,9,7,95,52,87,74,54,71,Pass
S486,Female,87.95179228,6,11,86,99,40,95,100,84,Pass
S431,Male,62.53653303,9,8,35,82,62,97,82,70,Pass
S160,Female,95.86978065,9,8,55,78,50,58,58,65,Pass
S353,Male,94.87152049,10,8,66,96,98,48,74,61,Pass
S265,Male,91.33994139,8,7,64,37,34,51,53,62,Pass
S152,Male,52.78267447,10,8,35,68,95,70,77,61,Pass
S147,Male,68.26784098,8,8,41,50,31,35,86,56,Pass
S259,Female,88.59409903,10,8,68,59,62,44,77,68,Pass
S429,Male,63.32491967,8,7,34,32,75,92,62,54,Pass
S014,Male,95.65828761,8,7,58,44,45,40,84,62,Pass
S159,Male,78.79992089,10,8,98,89,47,60,91,74,Pass
S482,Female,54.33526059,10,7,89,86,92,72,61,63,Pass
S297,Female,61.36978104,5,12,32,92,37,53,100,80,Pass
S055,Male,76.1801138,8,7,99,86,73,55,81,70,Pass
S207,Female,89.07572409,6,11,87,30,52,89,92,80,Pass
S280,Female,89.50423186,8,8,94,32,55,90,67,72,Pass
S034,Female,98.39868827,8,8,99,52,87,67,64,66,Pass
S494,Female,83.49587323,5,11,92,74,71,87,100,79,Pass
S163,Female,74.53743896,8,7,92,38,47,80,74,59,Pass
S433,Male,74.71369251,8,8,66,51,31,95,75,63,Pass
S028,Female,51.1092371,9,7,59,93,35,52,92,66,Pass
S328,Male,76.75348595,8,7,71,81,55,80,70,60,Pass
S355,Female,90.03748857,8,8,42,84,80,88,78,64,Pass
S225,Female,78.87431355,10,7,67,99,42,35,79,73,Pass
S160,Female,95.86978065,11,3,90,40,73,39,58,50,Pass
S213,Male,61.7845873,9,7,47,33,32,90,87,58,Pass
S435,Female,91.90534816,8,7,76,49,44,80,88,75,Pass
S271,Female,80.74751316,5,11,91,88,80,46,76,81,Pass
S365,Male,66.96356229,9,7,53,94,54,45,73,56,Pass
S186,Male,77.44609899,10,8,32,76,36,59,81,65,Pass
S284,Male,68.72176849,8,8,65,97,71,75,78,63,Pass
S019,Female,62.05424162,10,8,39,61,62,44,63,58,Pass
S280,Female,89.50423186,8,7,30,90,33,48,67,69,Pass
S143,Female,66.51742406,8,8,40,68,50,51,74,68,Pass
S299,Male,68.96528492,8,7,47,34,69,51,72,53,Pass
S090,Female,66.50497567,9,7,99,43,99,69,64,58,Pass
S214,Male,81.68792819,9,7,54,90,58,92,56,64,Pass
S369,Male,86.04065482,8,7,61,47,59,85,64,59,Pass
S375,Male,97.22048628,8,8,32,44,58,54,93,70,Pass
S402,Female,78.288831,5,11,47,85,82,78,87,81,Pass
S344,Female,76.72279456,9,7,38,39,86,73,73,66,Pass
S480,Female,84.52801162,8,8,30,53,66,64,61,59,Pass
S279,Male,95.93752611,8,8,60,72,66,56,75,63,Pass
S262,Female,78.27541737,8,7,54,33,69,49,86,69,Pass
S086,Male,76.72117519,12,3,58,34,31,63,50,42,Fail
S061,Male,53.31179889,5,11,99,51,76,83,98,82,Pass
S305,Female,70.72522921,10,7,71,92,33,43,53,60,Pass
S414,Male,56.61381056,8,8,38,74,65,82,64,68,Pass
S228,Female,76.59287398,8,7,53,85,92,94,67,72,Pass
S335,Female,67.46934995,9,7,91,87,54,90,54,66,Pass
S074,Female,84.82507331,10,8,67,60,86,62,79,68,Pass
S399,Female,98.72736326,5,12,77,73,79,86,94,87,Pass
S216,Male,65.80982911,9,8,41,52,31,83,92,69,Pass
S459,Male,92.32039247,10,3,40,39,52,43,61,46,Fail
S493,Male,52.57979033,8,8,59,32,79,93,81,63,Pass
S367,Female,94.37302413,10,8,86,95,52,67,69,58,Pass
S403,Male,99.26836561,8,7,54,71,44,43,90,67,Pass
S035,Female,54.42041117,5,12,94,99,80,51,98,89,Pass
S119,Female,55.24345833,8,8,74,95,46,66,98,70,Pass
S003,Male,69.64947245,8,8,56,79,62,67,58,56,Pass
S261,Male,79.92213506,7,12,85,54,58,59,79,77,Pass
S264,Male,79.95146824,9,7,49,80,75,89,71,67,Pass
S478,Female,98.10493929,8,7,65,40,60,55,60,58,Pass
S465,Female,67.57700806,8,8,90,38,64,61,96,75,Pass
S365,Male,66.96356229,9,8,78,89,45,61,73,68,Pass
S326,Female,77.86526844,10,8,75,79,86,95,77,69,Pass
S298,Male,80.39471969,9,8,33,87,96,86,60,66,Pass
S253,Female,72.85001096,6,12,88,85,62,81,79,78,Pass
S223,Female,76.9890531,5,12,90,86,85,75,81,76,Pass
S189,Male,54.39340556,9,7,96,50,82,58,52,54,Pass
S124,Male,54.46021644,6,12,95,78,41,86,96,85,Pass
S223,Female,76.9890531,8,8,71,79,75,45,81,74,Pass
S024,Female,93.91103337,8,8,60,74,41,97,94,70,Pass
S066,Female,78.98249672,8,7,49,56,61,70,96,70,Pass
S457,Female,58.10069389,8,7,58,79,77,49,90,71,Pass
S487,Male,86.20516646,8,7,45,96,66,62,68,64,Pass
S066,Female,78.98249672,5,11,84,88,42,71,96,89,Pass
S130,Female,82.44114201,9,7,78,98,58,39,98,74,Pass
S330,Female,64.97979559,9,8,93,50,46,59,65,61,Pass
S119,Female,55.24345833,5,11,31,60,69,98,98,81,Pass
S381,Female,86.79523066,10,7,94,49,78,44,71,61,Pass
S101,Male,79.86390411,8,7,49,41,53,95,73,64,Pass
S394,Female,67.25960724,10,8,56,54,32,37,96,60,Pass
S016,Male,86.3060422,9,7,83,31,42,43,91,64,Pass
S023,Female,60.36138245,5,12,92,83,51,41,93,85,Pass
S091,Female,66.07913823,5,12,80,97,75,44,98,90,Pass
S032,Male,65.38886199,8,7,77,32,88,74,93,75,Pass
S043,Female,95.15755293,9,7,33,64,66,60,65,61,Pass
S277,Male,79.64814526,8,8,46,83,77,90,50,59,Pass
S268,Female,61.36754915,7,11,80,77,80,79,85,77,Pass
S021,Female,62.57212198,9,8,31,39,99,74,73,64,Pass
S197,Female,92.536373,8,7,73,98,31,66,55,56,Pass
S291,Male,61.79530173,8,7,45,47,40,42,60,56,Pass
S263,Male,85.80895374,5,12,73,57,76,89,78,81,Pass
S368,Female,77.83607924,7,11,98,91,52,83,95,77,Pass
S342,Female,85.70295999,6,12,89,95,39,85,98,92,Pass
S324,Female,98.77706578,5,12,89,99,96,89,66,77,Pass
S328,Male,76.75348595,8,8,53,81,47,55,70,62,Pass
S120,Male,86.8702603,12,3,82,87,50,88,52,49,Fail
S333,Female,71.33944527,9,8,88,46,72,83,55,52,Pass
S077,Female,75.76180274,6,11,54,90,60,74,94,86,Pass
S016,Male,86.3060422,9,7,89,43,44,83,91,70,Pass
S092,Female,54.61452931,8,7,82,33,87,78,73,61,Pass
S339,Female,91.82824066,8,8,47,84,59,64,64,62,Pass
S084,Female,51.59023407,9,7,36,36,66,48,74,62,Pass
S258,Female,70.44775885,8,7,41,89,68,74,83,74,Pass
S477,Male,90.37151259,10,8,84,88,54,42,63,56,Pass
S229,Male,53.33095562,9,7,56,62,56,31,85,72,Pass
S237,Female,93.93145577,9,7,87,35,45,93,81,65,Pass
S047,Female,81.83221608,10,4,67,34,52,35,51,50,Pass
S416,Male,84.56109288,8,7,99,58,82,51,71,69,Pass
S428,Female,63.18419013,9,8,33,63,69,36,90,63,Pass
S252,Male,68.94107828,10,8,51,85,58,85,68,60,Pass
S222,Male,81.20507721,8,7,49,44,70,51,59,61,Pass
S302,Male,89.38949444,6,12,80,55,50,52,95,84,Pass
S390,Male,91.25536657,9,8,49,39,95,74,67,62,Pass
S042,Male,90.25223338,5,12,49,53,96,96,82,80,Pass
S332,Male,69.86590577,9,7,99,87,88,71,69,65,Pass
S235,Female,84.68588037,10,8,65,59,75,43,88,70,Pass
S387,Male,95.53120018,8,8,94,38,98,85,66,64,Pass
S345,Male,74.05439742,9,7,74,66,89,72,61,53,Pass
S190,Female,56.94123867,8,7,65,83,82,71,89,68,Pass
S160,Female,95.86978065,9,8,93,82,57,54,58,71,Pass
S349,Female,66.71814057,8,8,77,89,44,37,65,51,Pass
S409,Female,84.94229266,9,8,54,62,36,60,90,72,Pass
S341,Male,64.70223396,6,11,77,88,34,37,84,76,Pass
S156,Female,84.84807312,6,11,78,45,74,70,74,77,Pass
S241,Female,99.8846308,8,8,57,63,49,52,98,69,Pass
S011,Male,84.58571986,10,8,74,49,36,87,80,61,Pass
S313,Female,95.63747314,5,11,50,75,56,47,78,76,Pass
S126,Female,61.66082058,8,7,40,71,30,55,98,68,Pass
S328,Male,76.75348595,8,8,64,44,43,38,70,63,Pass
S368,Female,77.83607924,10,8,81,81,81,96,95,72,Pass
S339,Female,91.82824066,8,8,88,33,71,77,64,74,Pass
S221,Male,94.98337226,10,8,60,36,37,79,91,71,Pass
S192,Male,55.83480321,8,8,31,89,94,72,89,69,Pass
S496,Male,79.41318785,8,7,95,72,86,95,67,73,Pass
S370,Male,90.26574837,8,8,97,42,56,99,74,70,Pass
S017,Female,87.8540601,5,12,45,50,65,31,88,79,Pass
S101,Male,79.86390411,8,7,73,60,72,97,73,74,Pass
S175,Female,76.49200116,8,8,62,77,98,56,55,51,Pass
S017,Female,87.8540601,8,8,88,94,52,58,88,72,Pass
S459,Male,92.32039247,8,7,35,79,61,86,61,68,Pass
S232,Female,71.57640716,9,7,47,90,84,35,62,68,Pass
S458,Female,92.07648302,8,8,32,68,84,41,99,70,Pass
S138,Male,66.87234169,8,7,58,45,33,46,81,54,Pass
S254,Male,80.1978936,10,8,71,72,46,33,56,57,Pass
S469,Male,72.98407564,8,7,56,31,41,94,65,62,Pass
S329,Female,59.22314357,9,7,52,61,40,53,96,70,Pass
S027,Female,63.4336241,9,7,60,59,92,78,86,75,Pass
S360,Male,77.58612976,8,8,49,50,55,77,99,71,Pass
S432,Female,81.65490317,10,7,98,78,96,75,62,58,Pass
S038,Male,74.00229835,8,7,56,65,92,81,71,67,Pass
S154,Male,52.58177389,10,3,84,47,47,70,58,47,Fail
S484,Female,87.9196207,5,11,78,95,68,53,74,80,Pass
S146,Male,61.26663989,12,4,58,54,63,72,63,50,Pass
S294,Female,91.87453945,6,12,42,68,62,81,96,82,Pass
S283,Female,88.56233343,8,8,86,35,65,46,96,68,Pass
S488,Female,81.86157899,5,11,95,99,43,85,95,82,Pass
S434,Female,78.66471891,8,7,39,64,72,65,71,64,Pass
S039,Male,71.02678893,8,8,43,79,56,41,74,55,Pass
S023,Female,60.36138245,8,8,67,41,68,42,93,69,Pass
S498,Female,77.79032907,8,8,95,82,48,86,67,66,Pass
S234,Female,86.52745684,8,8,63,72,41,70,61,53,Pass
S369,Male,86.04065482,8,8,71,38,78,46,64,62,Pass
S340,Female,79.37268021,10,8,30,45,76,61,83,62,Pass
S073,Male,59.00336362,11,4,32,96,48,38,50,46,Fail
S353,Male,94.87152049,10,8,92,51,66,87,74,72,Pass
S031,Male,91.5685745,9,8,84,66,80,41,72,60,Pass
S125,Male,76.7667782,10,8,32,70,50,76,72,58,Pass
S410,Female,70.12750218,9,8,83,67,58,63,66,66,Pass
S402,Female,78.288831,8,7,33,81,55,92,87,69,Pass
S053,Male,95.52356392,9,7,77,92,91,96,62,65,Pass
S351,Female,87.66231104,10,8,79,92,51,95,57,65,Pass
S391,Male,68.15296061,8,7,73,44,73,86,79,67,Pass
S257,Male,74.3178741,10,7,54,43,89,30,81,73,Pass
S235,Female,84.68588037,10,8,90,54,32,98,88,72,Pass
S181,Male,66.03210961,8,8,85,78,66,69,62,60,Pass
S445,Female,91.85394954,10,7,89,80,72,36,93,74,Pass
S165,Female,91.04307366,8,8,45,49,71,74,60,56,Pass
S461,Female,57.73360704,12,4,52,34,76,46,57,47,Fail
S354,Female,76.32892333,10,7,78,81,60,64,66,70,Pass
S446,Male,71.85966982,9,7,31,40,85,93,98,70,Pass
S324,Female,98.77706578,8,8,49,32,60,51,66,52,Pass
S342,Female,85.70295999,6,11,82,48,61,79,98,77,Pass
S447,Male,95.77568386,8,8,60,52,87,75,89,73,Pass
S455,Male,63.49556112,9,7,34,68,95,58,80,75,Pass
S278,Female,55.11063321,8,8,82,99,43,89,71,71,Pass
S094,Female,84.38923585,12,4,35,54,63,64,61,50,Pass
S409,Female,84.94229266,6,12,82,76,86,69,90,84,Pass
S226,Female,67.76812259,5,11,78,30,30,92,88,76,Pass
S069,Female,73.00595795,8,8,97,35,34,35,74,63,Pass
S450,Female,97.46533985,9,8,54,35,52,93,55,65,Pass
S092,Female,54.61452931,8,8,39,75,82,45,73,69,Pass
S026,Female,52.34482339,10,8,31,36,36,83,52,55,Pass
S224,Female,71.93723377,5,12,96,91,58,81,92,84,Pass
S356,Male,98.94657178,9,7,69,97,39,64,57,51,Pass
S097,Female,68.86429826,5,11,46,72,88,74,92,84,Pass
S321,Female,61.0048607,8,7,77,37,47,95,60,56,Pass
S188,Male,84.22857739,10,8,32,56,49,31,100,62,Pass
S083,Male,67.38096072,8,8,87,95,52,43,86,65,Pass
S240,Female,78.65754246,8,7,67,58,84,50,76,70,Pass
S365,Male,66.96356229,9,7,82,49,65,64,73,73,Pass
S095,Female,75.58285068,5,12,71,87,51,80,86,84,Pass
S408,Female,87.08434721,8,8,82,83,82,50,73,75,Pass
S289,Male,95.53430991,10,7,63,56,87,72,56,53,Pass
S115,Male,51.52360764,5,12,84,78,83,95,92,81,Pass
S325,Female,72.9494494,10,8,71,83,92,82,93,73,Pass
S327,Male,93.03160089,8,7,53,60,32,50,78,66,Pass
S172,Male,85.54762394,5,11,46,90,85,71,97,81,Pass
S441,Male,59.21854603,9,8,98,87,61,58,99,74,Pass
S198,Female,87.29872628,5,11,75,73,46,46,73,76,Pass
S034,Female,98.39868827,8,8,56,74,96,38,64,69,Pass
S032,Male,65.38886199,8,7,55,56,91,53,93,73,Pass
S103,Female,76.8295323,8,8,53,60,91,42,62,69,Pass
S042,Male,90.25223338,8,8,41,31,96,74,82,69,Pass
S282,Female,82.56836055,9,8,71,46,72,50,63,52,Pass
S116,Female,93.36074905,8,7,56,56,33,34,83,66,Pass
S436,Female,70.21907508,10,8,48,98,43,59,51,57,Pass
S460,Male,97.76181564,8,7,58,92,88,33,57,68,Pass
S338,Male,68.88629737,5,11,47,41,80,80,87,76,Pass
S244,Male,88.92859695,9,7,41,83,81,43,89,67,Pass
S048,Male,77.74078043,10,7,43,43,57,53,84,61,Pass
S006,Female,53.17559148,10,3,90,88,48,43,57,49,Fail
S052,Female,72.54552237,9,8,53,64,94,81,62,60,Pass
S095,Female,75.58285068,5,12,49,52,37,94,86,79,Pass
S470,Female,53.79667052,8,7,55,82,98,79,53,62,Pass
S147,Male,68.26784098,8,8,63,40,96,40,86,75,Pass
S355,Female,90.03748857,8,7,67,39,30,94,78,66,Pass
S316,Female,58.27566587,8,8,84,90,39,57,51,51,Pass
S191,Male,50.13554497,6,12,91,86,86,34,83,79,Pass
S347,Male,88.26781405,8,7,76,58,93,92,64,74,Pass
S104,Female,96.20208796,5,11,35,72,98,68,83,84,Pass
S127,Female,67.14634321,8,7,62,53,58,94,58,58,Pass
S151,Male,90.29324434,8,8,91,37,74,91,52,67,Pass
S157,Male,99.86277674,8,7,44,68,60,63,83,64,Pass
S044,Female,80.8631856,5,11,66,72,76,85,94,85,Pass
S157,Male,99.86277674,8,8,41,57,94,91,83,69,Pass
S285,Female,53.44607697,9,8,71,95,30,94,61,66,Pass
S300,Female,87.21248259,8,7,36,64,78,56,75,74,Pass
S391,Male,68.15296061,8,8,46,72,54,52,79,68,Pass
S092,Female,54.61452931,8,7,33,34,34,76,73,67,Pass
S310,Female,95.92273625,5,11,48,82,88,56,88,84,Pass
S270,Male,64.39648082,8,7,85,81,31,98,53,55,Pass
S219,Female,72.59743006,9,8,77,42,52,35,80,55,Pass
S391,Male,68.15296061,8,8,83,37,67,57,79,73,Pass
S139,Male,94.98236986,8,7,32,35,48,94,84,61,Pass
S173,Male,59.97534637,8,8,53,72,74,40,75,71,Pass
S465,Female,67.57700806,5,12,40,95,44,95,96,81,Pass
S222,Male,81.20507721,8,7,37,91,52,60,59,62,Pass
S489,Male,99.02884001,8,8,48,51,34,49,85,61,Pass
S145,Female,50.37671816,8,8,81,73,97,68,53,67,Pass
S249,Male,87.73176459,5,12,64,57,96,91,84,77,Pass
S304,Female,55.713365,8,8,63,64,74,88,78,68,Pass
S371,Female,99.4364391,5,11,56,83,67,80,79,77,Pass
S140,Male,80.37776111,8,7,38,32,48,33,87,72,Pass
S423,Female,70.2624044,5,11,40,53,86,98,99,89,Pass
S001,Male,68.8369485,8,7,78,45,55,48,64,61,Pass
S412,Female,82.25270839,5,12,87,92,38,45,95,76,Pass
S056,Female,84.88209357,9,8,65,65,73,43,81,67,Pass
S030,Female,73.81053484,9,7,80,59,52,76,75,74,Pass
S397,Female,93.053401,8,8,36,83,83,69,81,66,Pass
S113,Female,92.22203363,5,11,38,44,66,94,95,84,Pass
S150,Female,54.39438123,9,7,48,80,91,44,90,67,Pass
S162,Male,98.75335815,8,7,38,65,59,30,89,72,Pass
S218,Male,84.14910317,6,12,82,73,97,57,100,91,Pass
S111,Female,56.65584643,5,11,87,67,65,41,100,85,Pass
S248,Male,74.69907436,8,8,97,81,47,45,94,70,Pass
S067,Female,67.07816052,8,8,81,71,37,54,59,57,Pass
S218,Male,84.14910317,6,12,33,87,99,76,100,77,Pass
S481,Female,76.06503337,8,7,48,52,97,68,72,59,Pass
S239,Male,87.07304556,10,8,78,43,60,33,95,72,Pass
S238,Female,74.77118132,9,8,99,87,72,67,62,60,Pass
S096,Female,57.84888414,9,8,96,54,72,55,86,74,Pass
S419,Female,76.48308393,8,7,65,39,43,34,82,62,Pass
S474,Female,50.26269093,8,8,70,91,41,74,52,64,Pass
S446,Male,71.85966982,6,12,44,88,34,39,98,76,Pass
S495,Male,52.20827189,7,11,92,47,61,60,93,79,Pass
S446,Male,71.85966982,6,11,42,88,86,73,98,80,Pass
S106,Female,87.99777045,8,8,61,79,81,39,56,58,Pass
S319,Male,89.02478538,8,7,47,86,70,34,69,72,Pass
S486,Female,87.95179228,6,12,88,82,36,90,100,91,Pass
S119,Female,55.24345833,8,7,47,99,30,75,98,69,Pass
S088,Male,94.71086314,10,7,32,50,79,82,64,61,Pass
S286,Male,53.86605327,5,12,75,76,80,80,85,76,Pass
S091,Female,66.07913823,5,11,31,44,41,96,98,76,Pass
S446,Male,71.85966982,6,11,57,45,84,74,98,76,Pass
S158,Female,94.83051315,8,7,32,56,72,35,61,52,Pass
S017,Female,87.8540601,8,8,30,39,33,84,88,69,Pass
S024,Female,93.91103337,5,11,56,40,56,47,94,81,Pass
S466,Male,70.63967753,8,7,59,63,99,87,56,62,Pass
S444,Female,53.41248527,9,8,83,94,38,79,91,74,Pass
S376,Female,57.05409244,9,8,93,86,34,92,69,59,Pass
S415,Male,95.02861506,9,8,95,81,99,79,65,72,Pass
S247,Male,85.70320411,10,7,38,43,43,77,73,61,Pass
S188,Male,84.22857739,7,11,73,72,32,30,100,82,Pass
S392,Male,51.71140554,9,8,81,39,79,35,67,59,Pass
S486,Female,87.95179228,6,11,54,63,89,48,100,88,Pass
S283,Female,88.56233343,5,11,65,49,75,81,96,84,Pass
S447,Male,95.77568386,5,12,70,64,53,55,89,80,Pass
S169,Male,91.92912794,8,8,30,94,57,48,87,69,Pass
S398,Female,60.97552625,8,7,63,53,91,32,60,64,Pass
S065,Male,60.45653955,8,7,38,96,47,36,93,70,Pass
S140,Male,80.37776111,5,12,53,65,85,32,87,81,Pass
S255,Male,75.11441737,9,8,66,45,77,85,59,52,Pass
S293,Male,59.31604397,8,8,95,70,34,76,55,62,Pass
S202,Female,60.2500905,8,8,77,92,58,32,77,73,Pass
S491,Female,82.33324596,9,7,31,39,61,74,57,51,Pass
S236,Female,58.336538,10,3,48,80,37,79,51,49,Fail
S364,Female,79.75244899,5,12,84,67,56,35,93,78,Pass
S207,Female,89.07572409,6,12,65,96,68,91,92,89,Pass
S437,Female,88.54556885,6,12,84,89,71,96,87,78,Pass
S063,Male,81.04028422,5,12,49,83,92,36,93,82,Pass
S290,Female,56.14053909,9,8,66,84,76,76,78,60,Pass
S464,Male,67.2191866,8,8,79,90,98,83,69,66,Pass
S201,Male,99.54647382,10,7,48,72,46,43,89,63,Pass
S375,Male,97.22048628,5,12,74,94,97,79,93,89,Pass
S133,Male,86.84112377,10,8,33,38,40,86,99,65,Pass
S036,Male,89.59089197,10,8,79,51,82,70,53,59,Pass
S397,Female,93.053401,8,7,90,72,39,72,81,73,Pass
S445,Female,91.85394954,10,8,81,83,85,71,93,73,Pass
S160,Female,95.86978065,9,7,95,62,78,87,58,68,Pass
S346,Male,74.85059744,9,7,99,88,66,34,67,62,Pass
